Year,Title,Logged,Main Story,Main + Sides,Completionist,Average Playing
2019,Disco Elysium,11400,23,33,46,13.1
2019,Metro Exodus,10200,15,24,39,17.9
2019,Star Wars Jedi: Fallen Order,9300,17,22,31,14.3
2019,Resident Evil 2,8700,9,15,36,22
2019,Sekiro: Shadows Die Twice,8300,30,42,69,49.3
2020,Cyberpunk 2077,12200,25,62,105,67.3
2020,Hades,11200,23,48,95,29
2020,Doom Eternal,9400,14,20,28,19.8
2020,Control: Ultimate Edition,7700,13,25,38,16.5
2020,Black Mesa,7400,15,18,25,16
2021,Mass Effect Legendary Edition,6600,60,102,141,39.1
2021,Deathloop,5600,16,24,35,14.2
2021,Death Stranding: Director's Cut,5000,38,58,111,28.5
2021,Marvel's Guardians of the Galaxy,4800,17,20,25,14.2
2021,Resident Evil Village,4700,10,13,38,22.3
2022,Elden Ring,9600,59,100,133,59
2022,Vampire Survivors,4400,14,26,49,20.4
2022,Ghostwire: Tokyo,4200,11,22,41,12.3
2022,Horizon Forbidden West,3800,28,62,89,22.6
2022,Stray,3800,5,6,10,6.1
2023,Baldur's Gate 3,7200,69,112,164,86.9
2023,Hogwarts Legacy,4700,26,44,70,28.7
2023,Hi-Fi Rush,3400,11,14,61,8.5
2023,Resident Evil 4 (2023),3300,16,21,63,37.7
2023,Dead Space (2023),2700,12,16,28,14.3