Year,Title,Retired,Main Story,Main + Sides,Completionist,Average Playing
2019,Sekiro: Shadows Die Twice,723,30,42,69,49.3
2019,Star Wars Jedi: Fallen Order,691,17,22,31,14.3
2019,Slay the Spire,604,12,47,189,38.6
2019,Baba Is You (2019),599,7,20,45,8.4
2019,Borderlands 3,599,23,45,79,28.2
2020,Hades,1000,23,48,95,29
2020,Cyberpunk 2077,789,25,62,105,67.3
2020,Assassin's Creed Valhalla,637,61,98,147,28.3
2020,Doom Eternal,505,14,20,28,19.8
2020,Factorio,461,49,92,216,87.4
2021,Valheim,788,78,101,143,44.8
2021,Halo Infinite,713,11,19,29,24.4
2021,Loop Hero,520,28,37,55,15.7
2021,Deathloop,514,16,24,35,14.2
2021,Forza Horizon 5,436,21,43,125,19.4
2022,Elden Ring,867,59,100,133,59
2022,Vampire Survivors,559,14,26,49,20.4
2022,Tunic,311,12,16,21,10.4
2022,Cult of the Lamb,297,14,19,26,15.3
2022,LEGO Star Wars: The Skywalker Saga,268,18,34,88,17.8
2023,Starfield,516,23,74,146,46
2023,Hogwarts Legacy,476,26,44,70,28.7
2023,Baldur's Gate 3,375,69,112,164,86.9
2023,Atomic Heart,307,16,25,35,14.2
2023,Hi-Fi Rush,270,11,14,61,8.5